# NGSL headwords — 빈도 구간(band) 순서로 정렬됨
# 출처: Browne, Culligan & Phillips (NGSL, CC BY) / 기계가독 변환본 CC0
# 형식: word,band  (배치 스크립트는 첫 컬럼만 읽는다)
assumption,2000
freeze,2000
extreme,2000
passage,2000
reputation,2000
forth,2000
negotiation,2000
mechanism,2000
coat,2000
democracy,2000
pocket,2000
lucky,2000
crash,2000
observation,2000
meat,2000
concentration,2000
implication,2000
deserve,2000
unusual,2000
defend,2000
classic,2000
king,2000
interaction,2000
repair,2000
collapse,2000
borrow,2000
fundamental,2000
dish,2000
abroad,2000
soul,2000
capable,2000
defeat,2000
presidential,2000
perfectly,2000
enhance,2000
proud,2000
emergency,2000
educational,2000
distinguish,2000
substantial,2000
nearby,2000
manufacturer,2000
slide,2000
valuable,2000
personally,2000
breast,2000
cope,2000
approximately,2000
accommodation,2000
highlight,2000
reporter,2000
climate,2000
shirt,2000
exception,2000
corporation,2000
chip,2000
winner,2000
encounter,2000
brown,2000
breathe,2000
excuse,2000
partly,2000
tennis,2000
urban,2000
confuse,2000
southern,2000
output,2000
beauty,2000
massive,2000
install,2000
calculate,2000
mouse,2000
mathematics,2000
upper,2000
creation,2000
occupy,2000
outline,2000
sufficient,2000
update,2000
luck,2000
preserve,2000
split,2000
swing,2000
illness,2000
journalist,2000
sudden,2000
advertisement,2000
consistent,2000
originally,2000
aside,2000
comfort,2000
secondly,2000
severe,2000
gene,2000
prospect,2000
snow,2000
plot,2000
neck,2000
criterion,2000
primarily,2000
integrate,2000
criticism,2000
convention,2000
bet,2000
retain,2000
sequence,2000
plain,2000
volunteer,2000
rural,2000
calm,2000
abandon,2000
examination,2000
silence,2000
rapidly,2000
efficient,2000
revolution,2000
delight,2000
spell,2000
premise,2000
lean,2000
dramatic,2000
differ,2000
grateful,2000
protein,2000
bike,2000
distribute,2000
intellectual,2000
derive,2000
crucial,2000
unemployment,2000
wheel,2000
crop,2000
minority,2000
origin,2000
interpretation,2000
gentleman,2000
drama,2000
landscape,2000
educate,2000
toy,2000
fault,2000
exhibit,2000
minor,2000
hunt,2000
storm,2000
thick,2000
achievement,2000
negotiate,2000
shoot,2000
supplier,3000
prize,3000
typically,3000
peer,3000
pension,3000
wing,3000
acquisition,3000
laughter,3000
deeply,3000
recognition,3000
electricity,3000
assistance,3000
roof,3000
retirement,3000
respectively,3000
variation,3000
ultimately,3000
proof,3000
soil,3000
smart,3000
layer,3000
upset,3000
tooth,3000
representation,3000
preparation,3000
dispute,3000
agenda,3000
emphasis,3000
edition,3000
silver,3000
entertainment,3000
honest,3000
undertake,3000
retail,3000
wire,3000
unlikely,3000
gay,3000
publication,3000
slight,3000
unknown,3000
framework,3000
zone,3000
restrict,3000
trace,3000
inch,3000
equivalent,3000
solid,3000
enterprise,3000
