# BSL (Business Service List) headwords — 빈도 순위(rank) 순서
# 출처: Browne, C., Culligan, B. (2016). The Business Service List.
#       Retrieved from www.newgeneralservicelist.com  (CC BY-SA 4.0)
# 형식: word,rank  (배치 스크립트는 첫 컬럼만 읽는다)
#
# 1,700개로 일반 비즈니스 영어의 97% 를 덮는다. 토익이 비즈니스 영어 시험이라
# TSL 과 함께 쓴다. NAWL(학술 960)은 논문·강의 영어라 토익과 다른 물건이어서 뺐다.
#
# **원본은 cp1252 다.** UTF-8 로 읽으면 악센트 글자가 깨진다.
#
# 트랙은 TSL 과 같다 — 토익 화면은 둘을 한 목록으로 보여 준다.
# track: toeic
#
# 순위는 TSL 1,250 뒤에서 시작한다. 두 목록 다 1위부터 매겨진 **다른 코퍼스의**
# 순위라 그냥 합치면 토익 트랙에 1위가 둘 생기고 정렬이 뒤엉킨다. 이어 붙인 뒤의
# 번호는 "BSL 이 TSL 보다 덜 쓰인다"는 뜻이 아니라 **화면에 낼 순서**다 — 토익
# 화면에서는 시험 어휘(TSL)가 먼저 나오는 것이 맞다.
# rank-offset: 1250
accrual,757
confront,758
punishment,759
passive,760
conditional,761
orientation,762
dispose,763
scrutiny,764
accordingly,765
exile,766
prescribe,767
inherent,768
explicitly,769
clever,770
steadily,771
payback,772
sacrifice,773
semi,774
feasible,775
conviction,776
continuously,777
junk,778
leak,779
tier,780
transparency,781
inadequate,782
acre,783
levy,784
freely,785
reliance,786
covenant,787
officially,788
prosecute,789
materially,790
convict,791
procurement,792
clash,793
deter,794
prosecution,795
nasty,796
condemn,797
frustrate,798
operative,799
privatize,800
endure,801
doctrine,802
distort,803
triple,804
textile,805
dislike,806
manipulate,807
unity,808
alpha,809
refine,810
implicit,811
deflation,812
antitrust,813
practitioner,814
prosperity,815
riot,816
cater,817
container,818
drill,819
align,820
reinvest,821
remainder,822
provincial,823
puzzle,824
alert,825
concede,826
advertiser,827
planner,828
alike,829
controversy,830
unusually,831
fierce,832
veto,833
instant,834
ceasefire,835
handset,836
sentiment,837
vest,838
beef,839
economically,840
combat,841
parity,842
notify,843
centralize,844
sovereign,845
estimation,846
clarify,847
basket,848
lucrative,849
stabilize,850
repeatedly,851
molecule,852
variability,853
strive,854
cure,855
creativity,856
bribe,857
evident,858
caution,859
reservation,860
militia,861
wisdom,862
enact,863
controller,864
bankrupt,865
shield,866
pact,867
discretion,868
cautious,869
supervision,870
leisure,871
dictate,872
purely,873
substitution,874
pursuit,875
minimal,876
eager,877
seasonal,878
vector,879
institute,880
endowment,881
suburb,882
disability,883
governmental,884
inefficient,885
partially,886
competence,887
closure,888
slash,889
overlook,890
logistics,891
scarce,892
fleet,893
restraint,894
follower,895
torture,896
crunch,897
certify,898
receiver,899
collaboration,900
logo,901
overlap,902
resume,903
encyclopedia,904
lump,905
momentum,906
probe,907
aversion,908
reconcile,909
indirectly,910
mandatory,911
yuan,912
namely,913
liberty,914
temporarily,915
decent,916
